item_id,order_id,isbn,discount
107020-44-1930,107020-46,989-28-79-69807-2,
107020-14-6317,107020-5,989-28-3705-987-7,
107020-56-6967,107020-6,989-28-3705-007-2,
107020-94-7785,107020-7,989-28-3705-007-2,
107020-40-7921,107020-8,989-28-79-21991-8,
107020-26-5296,107020-9,989-28-79-30536-9,
107020-1-1296,107036-13,989-28-79-82197-5,0.15
107021-54-4671,107021-100,989-28-79-68089-3,0.05
107021-9-1363,107021-100,989-28-79-13801-1,
107021-84-6083,107021-101,989-28-229-6632-6,0.1
107021-60-9776,107021-101,989-28-3705-492-6,
107021-80-9209,107021-47,989-28-3705-966-2,
107021-17-972,107021-48,989-28-3705-649-4,
107021-98-7436,107021-49,989-28-3705-987-7,
107021-8-8324,107021-50,989-28-3705-007-2,
107021-18-9238,107021-51,989-28-3705-007-2,
107021-4-4945,107021-52,989-28-79-45675-7,
107021-12-3972,107021-53,989-28-79-16826-1,
107021-1-4007,107021-54,989-28-79-82197-5,0.15
107021-1-6796,107021-56,989-28-79-82197-5,0.15
107021-4-1952,107021-57,989-28-79-07610-8,
107021-74-8665,107021-58,989-28-79-45675-7,
107021-68-9665,107021-59,989-28-79-05638-4,
107021-2-2090,107021-60,989-28-79-27078-0,
107021-87-4152,107021-61,989-28-79-30536-9,
107021-44-4874,107021-62,989-28-79-13871-4,
107021-3-5851,107021-63,989-28-79-69807-2,
107021-80-1506,107021-64,989-28-79-13871-4,
107021-3-5850,107021-65,989-28-79-69807-2,
107021-44-4873,107021-66,989-28-79-13871-4,
107021-80-1505,107021-67,989-28-79-13871-4,
107021-67-194,107021-68,989-28-229-3157-7,
107021-54-4419,107021-69,989-28-229-7592-2,
107021-69-1249,107021-70,989-28-229-1404-4,
107021-56-9502,107021-71,989-28-229-1404-4,
107021-3-6494,107021-72,989-28-229-1404-4,
107021-50-9602,107021-73,989-28-79-71565-6,
107021-59-5674,107021-74,989-28-79-74374-1,
107021-93-112,107021-75,989-28-79-91028-0,
107021-2-1047,107021-76,989-28-79-23023-4,
107021-30-989,107021-77,989-28-79-23023-4,
107021-43-1691,107021-78,989-28-79-26824-4,
107021-75-7868,107021-79,989-28-79-91028-0,
107021-42-2946,107021-80,989-28-79-23023-4,0.13
107021-83-6720,107021-81,989-28-79-55824-6,
107021-73-6463,107021-82,989-28-79-71565-6,
107021-27-374,107021-83,989-28-79-74374-1,
107021-81-754,107021-84,989-28-79-68089-3,0.05
107021-15-5438,107021-85,989-28-79-13801-1,
107021-85-5147,107021-86,989-28-79-13801-1,
107021-67-8660,107021-87,989-28-79-74374-1,
107021-89-4668,107021-88,989-28-79-40897-8,
107021-89-7469,107021-89,989-28-79-74374-1,
107021-26-276,107021-90,989-28-79-74374-1,
107021-54-291,107021-91,989-28-79-13801-1,
107021-13-2005,107021-92,989-28-79-40897-8,
107021-72-6141,107021-93,989-28-79-23023-4,
107021-82-5599,107021-94,989-28-3705-492-6,
107021-8-4515,107021-95,989-28-3705-492-6,
107021-35-6264,107021-96,989-28-3705-222-9,
107021-5-5556,107021-97,989-28-3705-222-9,
107021-56-279,107021-98,989-28-3705-222-9,
107021-6-4936,107021-99,989-28-79-68089-3,0.05
107021-1-3237,107021-99,989-28-79-82197-5,0.15
107021-1-6710,107021-99,989-28-79-82197-5,0.15
107021-1-6696,107047-55,989-28-79-82197-5,0.15
107022-99-8504,107022-102,989-28-79-21991-8,
107022-17-9117,107022-103,989-28-79-82197-5,
107022-4-5193,107022-104,989-28-79-86624-2,
107022-11-3193,107022-105,989-28-79-45675-7,
107022-88-4640,107022-106,989-28-79-22871-2,
107022-3-9449,107022-107,989-28-79-01991-4,
107022-18-9361,107022-108,989-28-79-45675-7,
107022-80-9633,107022-109,989-28-79-82749-6,
107022-80-9632,107022-110,989-28-79-82749-6,
107022-62-988,107022-111,989-28-79-69807-2,
107022-83-8097,107022-112,989-28-79-13871-4,
107022-79-9700,107022-113,989-28-79-05670-4,
107022-8-2279,107022-114,989-28-79-05670-4,
107022-8-5877,107022-115,989-28-79-82749-6,
107022-83-8096,107022-116,989-28-79-13871-4,
107022-6-5115,107022-117,989-28-79-13871-4,
107022-6-5114,107022-118,989-28-79-13871-4,
107022-48-910,107022-119,989-28-79-22562-9,
107022-10-2013,107022-120,989-28-79-22562-9,
107022-8-5876,107022-121,989-28-79-82749-6,
107022-97-5209,107022-122,989-28-79-69807-2,
107022-97-5208,107022-123,989-28-79-69807-2,
107022-62-987,107022-124,989-28-79-69807-2,
107022-73-5512,107022-125,989-28-229-5891-8,
107022-65-4088,107022-126,989-28-229-7592-2,
107022-8-1340,107022-127,989-28-229-6632-6,0.1
107022-65-3611,107022-128,989-28-229-0197-6,
107022-58-7168,107022-129,989-28-229-9769-6,
107022-46-382,107022-130,989-28-229-3157-7,
107022-52-6466,107022-131,989-28-229-9769-6,
107022-40-6414,107022-132,989-28-79-26824-4,
107022-36-6352,107022-133,989-28-79-91028-0,
107022-56-3405,107022-134,989-28-79-13801-1,
107022-35-7,107022-135,989-28-79-13801-1,
107022-58-8003,107022-136,989-28-79-23023-4,
107022-6-471,107022-137,989-28-79-23023-4,
107022-97-9565,107022-138,989-28-79-74374-1,
107022-89-3684,107022-139,989-28-79-13801-1,
107022-8-4653,107022-140,989-28-79-55824-6,
107022-63-5234,107022-141,989-28-79-13801-1,
107022-81-5752,107022-142,989-28-79-26824-4,
107022-63-7537,107022-143,989-28-79-71565-6,
107022-62-7641,107022-144,989-28-79-13801-1,
107022-61-6700,107022-145,989-28-79-13801-1,
107022-55-6014,107022-146,989-28-79-74374-1,
107022-33-1454,107022-147,989-28-79-91028-0,
107022-34-7661,107022-148,989-28-79-13801-1,
107022-58-2062,107022-149,989-28-79-26824-4,
107022-1-1997,107022-150,989-28-79-26824-4,
107022-25-2786,107022-151,989-28-79-23023-4,
107022-28-3849,107022-152,989-28-3705-763-7,
107022-76-5228,107022-153,989-28-3705-222-9,
107022-82-5746,107022-154,989-28-79-23015-9,
107022-48-8148,107022-155,989-28-3705-222-9,
107022-90-3375,107022-156,989-28-3705-222-9,
107022-56-6394,107022-157,989-28-79-42728-3,
107022-54-9779,107022-158,989-28-229-7592-2,
107022-72-1250,107022-159,989-28-229-1404-4,
107022-80-1229,107022-159,989-28-229-7592-2,
107022-89-4448,107022-160,989-28-79-55752-2,
107022-96-6153,107022-160,989-28-229-9769-6,
107022-1-7074,107022-161,989-28-79-82197-5,0.15
107022-49-6356,107022-161,989-28-79-26824-4,
107022-91-5322,107022-161,989-28-79-23023-4,
107022-11-6557,107022-162,989-28-3705-007-2,
107022-19-3799,107022-162,989-28-3705-007-2,
107022-6-4493,107022-162,989-28-3705-592-3,
107022-64-6162,107022-162,989-28-3705-007-2,
107022-1-9052,107049-158,989-28-79-82197-5,0.15
107023-1-2504,107022-177,989-28-79-82197-5,0.15
107023-90-7590,107023-163,989-28-3705-007-2,
107023-97-1027,107023-164,989-28-3705-054-6,
107023-16-6541,107023-165,989-28-3705-987-7,
107023-20-3773,107023-166,989-28-3705-966-2,
107023-74-3440,107023-167,989-28-3705-007-2,
107023-68-16,107023-168,989-28-3705-007-2,
107023-1-832,107023-169,989-28-3705-987-7,
107023-99-2664,107023-170,989-28-3705-007-2,
107023-58-7265,107023-171,989-28-3705-007-2,
107023-90-1561,107023-172,989-28-3705-987-7,
107023-47-5310,107023-173,989-28-79-45675-7,
107023-86-733,107023-174,989-28-79-04510-4,
107023-71-4721,107023-175,989-28-79-04510-4,
107023-99-9805,107023-176,989-28-79-82197-5,
107023-98-6636,107023-178,989-28-79-45675-7,
107023-13-1498,107023-179,989-28-79-30536-9,
107023-13-539,107023-180,989-28-79-45675-7,
107023-7-9575,107023-181,989-28-79-45675-7,
107023-30-6246,107023-182,989-28-79-45675-7,
107023-85-4668,107023-183,989-28-79-27078-0,
107023-1-3271,107023-184,989-28-79-82197-5,0.15
107023-61-9313,107023-185,989-28-79-11297-4,
107023-42-9976,107023-186,989-28-79-45675-7,0.13
107023-89-952,107023-187,989-28-654-2017-5,
107023-90-2631,107023-188,989-28-79-69807-2,
107023-94-209,107023-189,989-28-79-82749-6,
107023-81-6977,107023-190,989-28-79-13871-4,
107023-90-6632,107023-191,989-28-79-13871-4,
107023-90-2630,107023-192,989-28-79-69807-2,
107023-7-8582,107023-193,989-28-79-82125-8,
107023-10-9171,107023-194,989-28-79-69807-2,
107023-29-2505,107023-195,989-28-79-69807-2,
107023-7-8581,107023-196,989-28-79-82125-8,
107023-50-4648,107023-197,989-28-79-69807-2,
107023-10-9170,107023-198,989-28-79-69807-2,
107023-95-8559,107023-199,989-28-79-13871-4,
107023-81-6976,107023-200,989-28-79-13871-4,
107023-42-9555,107023-201,989-28-79-13871-4,0.13
107023-40-2526,107023-202,989-28-79-69807-2,
107023-61-7665,107023-203,989-28-79-13871-4,
107023-50-4647,107023-204,989-28-79-69807-2,
107023-99-9707,107023-205,989-28-79-82125-8,
107023-29-2504,107023-206,989-28-79-69807-2,
107023-7-34,107023-207,989-28-79-69807-2,
107023-40-2525,107023-208,989-28-79-69807-2,
107023-90-6631,107023-209,989-28-79-13871-4,
107023-28-781,107023-210,989-28-654-2620-7,
107023-32-3858,107023-211,989-28-229-6632-6,0.1
107023-5-3025,107023-212,989-28-229-6632-6,0.1
107023-65-7982,107023-213,989-28-229-5891-8,
107023-23-6309,107023-214,989-28-229-7592-2,
107023-88-4941,107023-215,989-28-229-7592-2,
107023-41-8581,107023-216,989-28-229-0197-6,
107023-85-7639,107023-217,989-28-229-6632-6,0.1
107023-12-8582,107023-218,989-28-229-6632-6,0.1
107023-68-5233,107023-219,989-28-79-68089-3,0.05
107023-71-1873,107023-220,989-28-79-74374-1,
107023-1-5783,107023-221,989-28-79-13801-1,
107023-42-523,107023-222,989-28-79-23023-4,0.13
107023-57-2277,107023-223,989-28-79-13801-1,
107023-48-9744,107023-225,989-28-79-71565-6,
107023-60-734,107023-226,989-28-79-26824-4,
107023-26-231,107023-227,989-28-79-74374-1,
107023-55-5436,107023-228,989-28-79-26824-4,
107023-77-178,107023-229,989-28-79-23023-4,
107023-28-8847,107023-230,989-28-79-55752-2,
107023-67-3798,107023-231,989-28-79-16533-8,
107023-92-5780,107023-232,989-28-79-23023-4,
107023-16-3254,107023-233,989-28-79-74374-1,
107023-30-2520,107023-234,989-28-79-91028-0,
107023-62-2181,107023-235,989-28-79-26824-4,
107023-28-5260,107023-236,989-28-79-74374-1,
107023-20-7796,107023-237,989-28-79-13801-1,
107023-88-283,107023-238,989-28-79-26824-4,
107023-82-5371,107023-239,989-28-79-74374-1,
107023-35-8302,107023-241,989-28-79-74374-1,
107023-2-3675,107023-242,989-28-79-40897-8,
107023-29-1406,107023-243,989-28-79-23023-4,
107023-73-5541,107023-244,989-28-79-13801-1,
107023-2-9301,107023-245,989-28-79-23023-4,
107023-47-14,107023-246,989-28-79-23023-4,
107023-73-7063,107023-247,989-28-79-23023-4,
107023-99-8009,107023-248,989-28-79-74374-1,
107023-95-6779,107023-249,989-28-79-13801-1,
107023-18-6485,107023-250,989-28-79-55824-6,
107023-7-6326,107023-251,989-28-79-51397-9,
107023-7-2076,107023-252,989-28-79-74374-1,
107023-58-9142,107023-253,989-28-79-23023-4,
107023-98-9062,107023-254,989-28-79-40897-8,
107023-35-8883,107023-255,989-28-79-23023-4,
107023-27-4529,107023-256,989-28-79-74374-1,
107023-27-9960,107023-257,989-28-79-44730-4,
107023-94-6678,107023-258,989-28-3705-492-6,
107023-59-7446,107023-259,989-28-3705-222-9,
107023-79-2356,107023-260,989-28-3705-222-9,
107023-67-7192,107023-261,989-28-3705-222-9,
107023-50-7418,107023-262,989-28-3705-222-9,
107023-87-8277,107023-263,989-28-3705-222-9,
107023-44-319,107023-264,989-28-79-14379-4,
107023-50-1732,107023-265,989-28-3705-222-9,
107023-12-3597,107023-266,989-28-79-03683-6,
107023-35-4377,107023-267,989-28-3705-222-9,
107023-38-8140,107023-268,989-28-3705-222-9,
107023-61-160,107023-269,989-28-3705-492-6,
107023-15-425,107023-270,989-28-3705-583-1,
107023-28-2142,107023-270,989-28-3705-152-9,
107023-73-3333,107023-270,989-28-3705-987-7,
107023-1-5390,107023-271,989-28-79-82197-5,0.15
107023-76-4145,107023-271,989-28-79-11297-4,
107023-76-8401,107023-271,989-28-79-91028-0,
107023-61-7664,107023-272,989-28-79-13871-4,
107023-7-33,107023-272,989-28-79-69807-2,
107023-3-3880,107023-273,989-28-229-5891-8,
107023-45-5640,107023-273,989-28-79-21991-8,
107023-66-2903,107023-273,989-28-79-45675-7,
107023-75-6141,107023-273,989-28-3705-222-9,
107023-43-5050,107023-274,989-28-3705-222-9,
107023-94-208,107023-274,989-28-79-82749-6,
107023-99-9706,107023-274,989-28-79-82125-8,
107023-88-3261,107023-275,989-28-79-71565-6,
107023-95-8558,107023-275,989-28-79-13871-4,
107023-13-6160,107023-276,989-28-79-13801-1,
107023-28-5589,107023-276,989-28-79-40897-8,
107023-33-5996,107023-277,989-28-79-23023-4,
107023-36-7543,107023-277,989-28-79-13801-1,
107023-53-6567,107023-278,989-28-79-74374-1,
107023-85-8448,107023-278,989-28-229-1404-4,
107023-42-4094,107023-279,989-28-229-7592-2,0.13
107023-54-5342,107023-279,989-28-79-74374-1,0.13
107023-42-9554,107023-280,989-28-79-13871-4,0.13
107023-97-305,107023-280,989-28-3705-987-7,
107023-68-3375,107023-281,989-28-3705-492-6,
107023-79-6274,107023-281,989-28-79-16826-1,
107024-1-1659,107023-296,989-28-79-82197-5,0.15
107024-65-5003,107024-282,989-28-3705-583-1,
107024-56-7924,107024-283,989-28-3705-007-2,
107024-69-6939,107024-284,989-28-3705-007-2,
107024-31-2163,107024-285,989-28-3705-007-2,
107024-48-5034,107024-286,989-28-3705-583-1,
107024-67-6372,107024-287,989-28-3705-583-1,
107024-19-8248,107024-288,989-28-3705-987-7,
107024-74-9081,107024-289,989-28-3705-987-7,
107024-88-6145,107024-290,989-28-3705-966-2,
107024-65-2783,107024-291,989-28-3705-007-2,
107024-60-2388,107024-292,989-28-3705-007-2,
107024-48-6813,107024-293,989-28-79-45675-7,
107024-14-4983,107024-294,989-28-79-86624-2,
107024-66-2873,107024-295,989-28-79-70597-8,
107024-62-6122,107024-297,989-28-79-45675-7,
107024-33-7374,107024-298,989-28-79-13871-4,
107024-78-171,107024-299,989-28-79-05670-4,
107024-93-2571,107024-300,989-28-79-69807-2,
107024-25-2676,107024-301,989-28-79-82749-6,
107024-66-2184,107024-302,989-28-79-13871-4,
107024-93-2570,107024-303,989-28-79-69807-2,
107024-33-7373,107024-304,989-28-79-13871-4,
107024-66-2183,107024-305,989-28-79-13871-4,
107024-25-2675,107024-306,989-28-79-82749-6,
107024-83-2325,107024-307,989-28-229-3157-7,
107024-1-4283,107024-308,989-28-229-1404-4,
107024-17-1957,107024-309,989-28-229-9769-6,
107024-80-389,107024-310,989-28-229-1404-4,
107024-88-5951,107024-311,989-28-229-7592-2,
107024-11-2113,107024-312,989-28-229-1404-4,
107024-81-7740,107024-313,989-28-229-6632-6,0.1
107024-66-5855,107024-314,989-28-229-6632-6,0.1
107024-87-8563,107024-315,989-28-229-9769-6,
107024-8-726,107024-316,989-28-229-9769-6,
107024-25-3301,107024-317,989-28-229-7592-2,
107024-95-9050,107024-318,989-28-229-7592-2,
107024-95-9743,107024-319,989-28-229-6632-6,0.1
107024-7-2086,107024-320,989-28-229-7592-2,
107024-37-2869,107024-321,989-28-79-40897-8,
107024-71-4686,107024-322,989-28-79-13801-1,
107024-8-5278,107024-323,989-28-79-23023-4,
107024-23-751,107024-324,989-28-79-40897-8,
107024-52-8676,107024-325,989-28-79-23023-4,
107024-19-4026,107024-326,989-28-79-23023-4,
107024-75-2260,107024-327,989-28-79-40897-8,
107024-64-7469,107024-328,989-28-79-13801-1,
107024-90-9121,107024-329,989-28-79-74374-1,
107024-50-2130,107024-330,989-28-79-26824-4,
107024-85-4591,107024-331,989-28-79-23023-4,
107024-85-7037,107024-332,989-28-79-74374-1,
107024-35-1159,107024-333,989-28-79-55752-2,
107024-98-8690,107024-334,989-28-79-23023-4,
107024-54-2662,107024-335,989-28-79-13801-1,
107024-91-7062,107024-336,989-28-79-13801-1,
107024-60-9006,107024-337,989-28-79-23023-4,
107024-32-5341,107024-338,989-28-79-23023-4,
107024-51-277,107024-339,989-28-79-40897-8,
107024-71-1920,107024-340,989-28-79-13801-1,
107024-66-3961,107024-341,989-28-79-74374-1,
107024-95-8806,107024-342,989-28-79-74374-1,
107024-30-101,107024-343,989-28-79-68089-3,0.05
107024-81-1125,107024-344,989-28-79-71565-6,
107024-89-8977,107024-345,989-28-79-13801-1,
107024-56-3657,107024-346,989-28-79-23023-4,
107024-7-1233,107024-347,989-28-79-74374-1,
107024-60-3520,107024-348,989-28-79-91028-0,
107024-10-6443,107024-349,989-28-79-23023-4,
107024-98-2999,107024-350,989-28-79-23023-4,
107024-73-1768,107024-351,989-28-79-68089-3,0.05
107024-1-5458,107024-352,989-28-79-23023-4,
107024-87-7978,107024-353,989-28-79-26824-4,
107024-50-8152,107024-354,989-28-79-26824-4,
107024-56-4134,107024-355,989-28-79-13801-1,
107024-62-485,107024-356,989-28-79-91028-0,
107024-81-8608,107024-357,989-28-79-74374-1,
107024-19-8210,107024-358,989-28-79-91028-0,
107024-56-9123,107024-359,989-28-79-26824-4,
107024-76-8613,107024-360,989-28-79-68089-3,0.05
107024-91-8052,107024-361,989-28-79-51397-9,
107024-32-2948,107024-362,989-28-79-43574-5,
107024-53-1090,107024-363,989-28-79-43574-5,
107024-38-6486,107024-364,989-28-79-40897-8,
107024-92-4691,107024-365,989-28-3705-222-9,
107024-86-1250,107024-366,989-28-3705-492-6,
107024-62-9268,107024-367,989-28-3705-492-6,
107024-27-31,107024-368,989-28-3705-222-9,
107024-45-3531,107024-369,989-28-3705-222-9,
107024-3-5739,107024-370,989-28-3705-222-9,
107024-28-9100,107024-371,989-28-229-6632-6,0.1
107024-31-6720,107024-372,989-28-79-23023-4,
107024-37-6965,107024-372,989-28-79-74374-1,
107024-53-3828,107024-372,989-28-79-45675-7,
107024-93-237,107024-372,989-28-79-13801-1,
107024-21-9222,107024-373,989-28-79-22871-2,
107024-47-8672,107024-373,989-28-3705-007-2,
107024-50-2403,107024-373,989-28-79-27078-0,
107024-28-303,107024-374,989-28-79-45675-7,0.13
107024-42-342,107024-374,989-28-654-2017-5,0.13
107024-47-310,107024-374,989-28-79-21991-8,0.13
107024-11-9647,107024-375,989-28-229-6632-6,0.1
107024-72-9437,107024-375,989-28-79-23023-4,
107024-89-5282,107024-376,989-28-3705-583-1,
107024-89-8554,107024-376,989-28-3705-492-6,
107024-27-7613,107024-377,989-28-3705-222-9,
107024-87-1574,107024-377,989-28-3705-492-6,
107024-62-293,107024-378,989-28-654-2017-5,
107024-72-9733,107024-378,989-28-79-26824-4,
107024-96-8913,107024-378,989-28-79-13801-1,
107024-32-9863,107024-379,989-28-79-26824-4,
107024-56-7501,107024-379,989-28-229-9769-6,
107024-55-648,107024-380,989-28-79-11297-4,
107024-58-1959,107024-380,989-28-79-13801-1,
107024-14-353,107024-381,989-28-79-71565-6,
107024-85-1458,107024-381,989-28-79-23023-4,
107024-4-1791,107024-382,989-28-79-71565-6,
107024-8-8791,107024-382,989-28-79-23023-4,
107024-20-9968,107024-383,989-28-79-74374-1,
107024-29-4118,107024-383,989-28-229-1404-4,
107024-1-553,107024-384,989-28-229-7592-2,
107024-88-6775,107024-384,989-28-229-1404-4,
107025-15-25,107025-385,989-28-3705-987-7,
107025-95-510,107025-386,989-28-3705-007-2,
107025-60-8779,107025-387,989-28-3705-007-2,
107025-29-1516,107025-388,989-28-3705-007-2,
107025-96-9710,107025-389,989-28-3705-007-2,
107025-57-4350,107025-390,989-28-3705-007-2,
107025-90-5260,107025-391,989-28-3705-987-7,
107025-38-8590,107025-392,989-28-3705-007-2,
107025-48-5176,107025-393,989-28-79-30536-9,
107025-47-714,107025-394,989-28-79-05638-4,
107025-22-401,107025-395,989-28-79-82197-5,
107025-69-5276,107025-396,989-28-79-42728-3,
107025-67-6624,107025-397,989-28-79-45675-7,
107025-65-6598,107025-398,989-28-79-45675-7,
107025-72-7539,107025-399,989-28-79-11297-4,
107025-99-4081,107025-400,989-28-79-45675-7,
107025-5-4677,107025-401,989-28-79-69807-2,
107025-41-8906,107025-402,989-28-79-13871-4,
107025-92-3858,107025-403,989-28-79-05670-4,
107025-51-2530,107025-404,989-28-79-05670-4,
107025-94-1936,107025-405,989-28-79-13871-4,
107025-41-8905,107025-406,989-28-79-13871-4,
107025-15-8858,107025-407,989-28-654-3988-7,
107025-19-1245,107025-408,989-28-229-5891-8,
107025-40-803,107025-409,989-28-229-9769-6,
107025-34-2456,107025-410,989-28-79-23023-4,
107025-72-9672,107025-411,989-28-79-40897-8,
107025-41-3971,107025-412,989-28-79-13801-1,
107025-13-6835,107025-413,989-28-79-74374-1,
107025-39-3753,107025-414,989-28-79-74374-1,
107025-12-581,107025-415,989-28-79-71565-6,
107025-3-2336,107025-416,989-28-79-68089-3,0.05
107025-48-5684,107025-417,989-28-79-68089-3,0.05
107025-50-6955,107025-418,989-28-79-13801-1,
107025-16-7195,107025-419,989-28-79-71565-6,
107025-98-2706,107025-420,989-28-79-13801-1,
107025-37-6529,107025-422,989-28-79-03683-6,
107025-46-5647,107025-423,989-28-3705-222-9,
107025-63-417,107025-424,989-28-3705-222-9,
107025-46-9035,107025-425,989-28-3705-222-9,
107025-86-5966,107025-426,989-28-229-7592-2,
107025-94-1935,107025-427,989-28-79-13871-4,
107025-32-1074,107025-428,989-28-79-91028-0,
107025-36-75,107025-428,989-28-3705-007-2,
107025-73-3367,107025-428,989-28-79-22871-2,
107025-48-4699,107025-429,989-28-3705-649-4,
107025-71-5613,107025-429,989-28-3705-583-1,
107025-49-6179,107025-430,989-28-3705-222-9,
107025-77-4547,107025-430,989-28-3705-649-4,
107025-19-8449,107025-431,989-28-79-13801-1,
107025-74-8700,107025-431,989-28-79-23023-4,
107025-5-4676,107025-432,989-28-79-69807-2,
107025-79-9457,107025-432,989-28-79-13801-1,
107025-10-1320,107025-433,989-28-79-45675-7,
107025-93-7182,107025-433,989-28-79-91028-0,
107025-39-9021,107025-434,989-28-79-68089-3,0.05
107025-84-2046,107025-434,989-28-654-0127-3,
107025-75-529,107025-435,989-28-229-6632-6,0.1
107025-21-525,107025-435,989-28-229-0197-6,
107025-83-4600,107025-435,989-28-229-7592-2,
107026-1-5735,107024-444,989-28-79-82197-5,0.15
107026-78-1318,107026-436,989-28-3705-007-2,
107026-36-8067,107026-437,989-28-3705-007-2,
107026-88-660,107026-438,989-28-3705-007-2,
107026-1-7010,107026-439,989-28-79-86624-2,
107026-38-705,107026-440,989-28-79-22871-2,
107026-97-7276,107026-441,989-28-79-27078-0,
107026-76-396,107026-442,989-28-79-61125-5,
107026-33-3770,107026-443,989-28-79-01991-4,
107026-38-3541,107026-445,989-28-79-22871-2,
107026-83-2628,107026-446,989-28-79-69807-2,
107026-72-9907,107026-447,989-28-79-13871-4,
107026-3-3358,107026-448,989-28-79-69807-2,
107026-53-2005,107026-449,989-28-79-69807-2,
107026-83-2627,107026-450,989-28-79-69807-2,
107026-3-3357,107026-451,989-28-79-69807-2,
107026-26-9905,107026-452,989-28-79-69807-2,
107026-72-9906,107026-453,989-28-79-13871-4,
107026-26-9904,107026-454,989-28-79-69807-2,
107026-53-2004,107026-455,989-28-79-69807-2,
107026-40-7663,107026-456,989-28-654-0047-4,
107026-33-6058,107026-457,989-28-229-5891-8,
107026-20-8872,107026-458,989-28-229-6632-6,0.1
107026-92-1588,107026-459,989-28-229-6632-6,0.1
107026-29-2904,107026-460,989-28-79-23023-4,
107026-9-5086,107026-461,989-28-79-74374-1,
107026-61-3477,107026-462,989-28-79-23023-4,
107026-81-831,107026-463,989-28-79-23023-4,
107026-32-27,107026-464,989-28-79-23023-4,
107026-74-1643,107026-465,989-28-79-13801-1,
107026-35-4460,107026-466,989-28-79-13801-1,
107026-25-2935,107026-467,989-28-79-40897-8,
107026-79-918,107026-468,989-28-79-13801-1,
107026-56-8029,107026-469,989-28-79-23023-4,
107026-59-8951,107026-470,989-28-79-74374-1,
107026-44-5651,107026-471,989-28-79-68089-3,0.05
107026-13-3582,107026-472,989-28-79-91028-0,
107026-33-1824,107026-473,989-28-79-74374-1,
107026-91-6130,107026-475,989-28-79-23023-4,
107026-6-8244,107026-476,989-28-3705-492-6,
107026-81-7405,107026-477,989-28-3705-492-6,
107026-62-6332,107026-478,989-28-79-03683-6,
107026-47-6644,107026-479,989-28-79-03683-6,
107026-4-40,107026-480,989-28-79-26824-4,
107026-47-3511,107026-480,989-28-79-13801-1,
107026-47-9223,107026-480,989-28-79-13871-4,
107026-42-8995,107026-481,989-28-3705-987-7,0.13
107026-96-2873,107026-481,989-28-3705-007-2,0.13
107026-26-7654,107026-482,989-28-79-13801-1,
107026-47-9222,107026-482,989-28-79-13871-4,
107026-1-6396,107026-483,989-28-79-82197-5,0.15
107026-18-632,107026-483,989-28-79-05670-4,
107026-45-2142,107026-483,989-28-79-13801-1,
107026-59-3551,107026-484,989-28-3705-007-2,
